,TOTAL_RECORDS,TOTAL_SUM,MEAN,STD_DEV,MEDIAN,MAX,MIN,ZERO_RECORDS,NON_ZERO_RECORDS,NA_RECORDS,NULL_RECORDS,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,COLUMN_NAME
Population,2007992.0,93383775.0,46.50604932688975,18.33790447557062,41.0,100.0,24.0,0.0,2007992.0,0.0,0.0,24.0,28.0,32.0,36.0,38.0,41.0,44.0,51.0,56.0,76.0,bitcoin_trend
Arbitrage Present,37938.0,2160404.0,56.945648162791926,14.823908557677619,56.0,100.0,24.0,0.0,37938.0,0.0,0.0,24.0,40.0,48.0,56.0,56.0,56.0,56.0,56.0,56.0,83.0,bitcoin_trend
Arbitrage Not Present,1970054.0,91223371.0,46.30501042103415,18.340767077354133,41.0,100.0,24.0,0.0,1970054.0,0.0,0.0,24.0,28.0,32.0,36.0,38.0,41.0,44.0,48.0,56.0,76.0,bitcoin_trend
Population,2007992.0,117574348.0,58.553195431057496,11.928544068297471,55.0,100.0,44.0,0.0,2007992.0,0.0,0.0,44.0,47.0,50.0,51.0,54.0,55.0,58.0,61.0,64.0,74.0,crypto_currency_trend
Arbitrage Present,37938.0,2405761.0,63.41296325583847,10.383206578461895,62.0,100.0,44.0,0.0,37938.0,0.0,0.0,44.0,55.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,68.0,crypto_currency_trend
Arbitrage Not Present,1970054.0,115168587.0,58.4596092289856,11.936943922685648,55.0,100.0,44.0,0.0,1970054.0,0.0,0.0,44.0,47.0,50.0,51.0,54.0,55.0,58.0,61.0,64.0,74.0,crypto_currency_trend
Population,2007992.0,80473959.0,40.076832477420226,20.528912905542175,33.0,100.0,19.0,0.0,2007992.0,0.0,0.0,19.0,21.0,26.0,29.0,31.0,33.0,38.0,40.0,49.0,69.0,ethereum_trend
Arbitrage Present,37938.0,1679158.0,44.26058305656598,18.841694716399672,39.0,100.0,19.0,0.0,37938.0,0.0,0.0,19.0,29.0,38.0,39.0,39.0,39.0,39.0,39.0,40.0,69.0,ethereum_trend
Arbitrage Not Present,1970054.0,78794801.0,39.99626456939759,20.551692926132713,33.0,100.0,19.0,0.0,1970054.0,0.0,0.0,19.0,21.0,26.0,28.0,31.0,33.0,38.0,40.0,49.0,69.0,ethereum_trend
Population,2007992.0,108467661.0,54.01797467320587,13.93185444527719,52.0,100.0,33.0,0.0,2007992.0,0.0,0.0,33.0,40.0,43.0,46.0,49.0,52.0,54.0,56.0,58.0,76.0,USDC_trend
Arbitrage Present,37938.0,2560705.0,67.49710053244767,12.636411415293571,71.0,100.0,33.0,0.0,37938.0,0.0,0.0,33.0,47.0,55.0,71.0,71.0,71.0,71.0,71.0,71.0,76.0,USDC_trend
Arbitrage Not Present,1970054.0,105906956.0,53.75840256155415,13.827265018362338,52.0,100.0,33.0,0.0,1970054.0,0.0,0.0,33.0,39.0,43.0,46.0,48.0,52.0,54.0,56.0,58.0,76.0,USDC_trend
Population,2007992.0,114890490.0,57.21660743668301,14.777938375229557,55.0,100.0,28.0,0.0,2007992.0,0.0,0.0,28.0,43.0,46.0,48.0,52.0,55.0,58.0,61.0,65.0,76.0,WETH_trend
Arbitrage Present,37938.0,2598778.0,68.50065896989825,11.635544221502323,70.0,100.0,28.0,0.0,37938.0,0.0,0.0,28.0,53.0,60.0,70.0,70.0,70.0,70.0,70.0,70.0,87.0,WETH_trend
Arbitrage Not Present,1970054.0,112291712.0,56.99930661799118,14.747429170420835,54.0,100.0,28.0,0.0,1970054.0,0.0,0.0,28.0,43.0,46.0,48.0,52.0,54.0,58.0,61.0,65.0,76.0,WETH_trend
Population,2007992.0,-627393670.0768956,-312.44829166495464,175724.79627346763,-103.7049075,19999999.981373,-19549576.158741,0.0,2007992.0,0.0,0.0,-19549576.158741,-54181.475134,-7098.70188,-2445.705189,-739.445935,-103.698468,321.603799,1547.253211,5826.309528,59266.675147,p1.t0_amount
Arbitrage Present,37938.0,-1459012978.9477768,-38457.82537160042,660371.3538910112,-4861.459202,10000000.0,-13365161.517147,0.0,37938.0,0.0,0.0,-13365161.517147,-159817.844844,-4874.231836,-4869.981367,-4865.718442,-4861.459202,-4857.02668,-4852.748374,14839.579132,97665.135268,p1.t0_amount
Arbitrage Not Present,1970054.0,831619308.8708814,422.13021007083125,151814.27020692307,-94.098555,19999999.981373,-19549576.158741,0.0,1970054.0,0.0,0.0,-19549576.158741,-53665.430131,-7214.461775,-2210.60967,-665.412039,-94.094824,350.000003,1586.0,5773.006737,58955.470794,p1.t0_amount
Population,2007992.0,261516.59423742606,0.13023786660376438,73.52284179426812,0.0431026818502013,5240.399995119506,-5330.532423678818,0.0,2007992.0,0.0,0.0,-5330.532423678818,-24.4127059210054,-2.4980927412787035,-0.6355776366672448,-0.1350053661214599,0.0431130186226683,0.293,1.0,2.8826717780868187,21.948806418465026,p1.t1_amount
Arbitrage Present,37938.0,596698.7912163837,15.728261669470813,273.65129284190346,1.47,4764.268344651634,-3868.9132161094176,0.0,37938.0,0.0,0.0,-3868.9132161094176,-33.42330785646517,-6.781309997519584,1.47,1.47,1.47,1.47,1.47,1.47,52.45070852367676,p1.t1_amount
Arbitrage Not Present,1970054.0,-335182.1969789576,-0.17013858350022773,63.74073447251516,0.03501480280107665,5240.399995119506,-5330.532423678818,0.0,1970054.0,0.0,0.0,-5330.532423678818,-24.344807425307767,-2.4817920696857394,-0.6461946118939538,-0.1444170288025086,0.0350175192017624,0.2658296342587244,0.9181900235771236,2.931112931678866,21.7245,p1.t1_amount
Population,2007992.0,981790023495.0,488941.2027015048,741045.5376651142,327262.0,30000000.0,106538.0,0.0,2007992.0,0.0,0.0,106538.0,204462.0,244902.0,267690.0,300534.0,327262.0,366338.0,426371.0,518450.0,753850.0,p1.gasUsed
